 1483  STARS OF MAGNITUDE  5.000 AND BRIGHTER                   TOTAL   1483
  153  4.047 &&&   336.8274   58.1589  .4850037 -.2075979  .8495143  1650742
  154  3.852 A0    337.3087   50.0252  .5927226 -.2478350  .7663274  1650745
  155  4.828 A5    338.8274   51.2856  .5832200 -.2258953  .7802728  1650750
  156  4.930 B1    346.1230   59.1494  .4978341 -.1229891  .8585074  1650779
  157  4.898 B3    351.9286   58.2732  .5206595 -.0738357  .8505657  1650791
  158  4.750 F8P   357.9684   57.2213  .5410553 -.0191932  .8407680  1650805
  159  4.797 M7E   358.9667   51.1103  .6277216 -.0113219  .7783556  1650811
  160  4.930 B2    359.1155   55.4767  .5666742 -.0087490  .8238955  1650812
  161  4.703 B2     10.4822   48.0111  .6578224  .1217088  .7432742  1540034
  162  4.422 B3     11.7621   40.8068  .7410238  .1542961  .6535109  1540037
  163  4.281 B8     16.6473   46.9757  .6537100  .1954677  .7310648  1540055
  164  4.992 K0     19.8467   45.2676  .6619939  .2389428  .7104016  1540067
  165  4.961 F5     21.1684   45.1482  .6576850  .2546822  .7089340  1540073
  166  4.180 G0     23.4606   41.1521  .6907207  .2997699  .6580600  1540080
  167  3.773 K0     23.7287   48.3746  .6081023  .2673018  .7475034  1540082
  168  4.898 B8     24.4047   40.3244  .6942725  .3150053  .6471146  1540088
  169  2.281 K0     30.2056   42.0903  .6413326  .3733479  .6703013  1540106
  170  4.219 F8     40.1983   49.0176  .5009310  .4232942  .7549107  1540133
  171  2.852 B8     46.2265   40.7646  .5239751  .5469029  .6529527  1540150
  172  4.172 G0     46.3821   49.4232  .4487214  .4709094  .7595350  1540151
  173  4.000 K0     46.5308   44.6679  .4892758  .5161452  .7029960  1540152
  174  4.977 A2     49.5200   43.1506  .4736170  .5549265  .6839178  1540162
  175  1.898 F5     50.1856   49.6848  .4142711  .4969694  .7624965  1540165
  176  4.938 B5     51.1215   48.8899  .4126983  .5118558  .7534479  1540169
  177  4.672 B5     51.4456   49.3373  .4061178  .5095663  .7585582  1540172
  178  4.547 K0     51.7596   47.8246  .4155728  .5273326  .7410935  1540175
  179  4.258 B5P    53.2317   48.0279  .4003117  .5357253  .7434709  1540189
  180  3.102 B5     54.8389   47.6292  .3880983  .5509592  .7387988  1540193
  181  3.930 F5     55.4468   42.4224  .4186809  .6079747  .6745910  1540196
  182  4.031 B3P    61.2558   47.5808  .3243913  .5914292  .7382288  1540207
  183  4.281 G0     62.8043   48.2842  .3041252  .5918726  .7464547  1540209
  184  4.891 &&&    62.8698   40.3588  .3474844  .6781634  .6475716  1540210
  185  4.891 B3     64.4822   46.3810  .2971854  .6225649  .7239432  1540215
  186  4.461 &&&    68.3045   41.1639  .2783018  .6995006  .6582150  1540221
  187  3.453 F5P    74.5939   43.7514  .1918979  .6963905  .6915313  1540236
  188  3.938 &&&    74.7446   41.0047  .1985663  .7280636  .6561211  1540237
  189  3.281 B3     75.7513   41.1683  .1852824  .7296214  .6582728  1540241
  190   .211 G0     78.2490   45.9449  .1416138  .6807764  .7186717  1540248
  191  4.852 G0     78.9124   40.0497  .1472106  .7511979  .6434522  1540252
  192  2.070 A0P    88.9641   44.9446  .0127964  .7076741  .7064231  1540278
  193  4.594 M0     89.0557   45.9345  .0114620  .6953856  .7185454  1540279
  194  4.797 A2    103.4927   45.1613 -.1645184  .6856518  .7090947  1540325
  195  4.797 A2    108.6845   49.5563 -.2078160  .6145124  .7610433  1540336
  196  4.453 A0    110.7367   49.3125 -.2308323  .6096996  .7582762  1540340
  197  4.430 K5    124.8545   43.3492 -.4155821  .5967313  .6864425  1540368
  198  3.117 A5    133.9413   48.2369 -.4621875  .4795912  .7459055  1540385
  199  4.094 F5    134.3440   41.9795 -.5195995  .5316364  .6688641  1540387
  200  3.680 A0    135.0547   47.3552 -.4794882  .4785728  .7355673  1540388
  201  3.523 A2    153.5199   43.1644 -.6528723  .3252274  .6840942  1540412
  202  3.211 K5    154.8383   41.7521 -.6752432  .3171947  .6659085  1540420
  203  4.844 A5    157.5784   40.6833 -.7009963  .2892392  .6518779  1540427
  204  4.844 A0    162.7778   43.4564 -.6933517  .2149231  .6878019  1540432
  205  3.148 K0    166.7139   44.7698 -.6909398  .1631542  .7042605  1540440
  206  3.852 K0    175.8521   48.0570 -.6666406  .0483460  .7438098  1540461
  207  4.320 G0    187.8327   41.6320 -.7404538 -.1018605  .6643438  1540475
  208  4.656 F0    198.8238   40.8355 -.7161237 -.2441206  .6538899  1540491
  209  4.633 A3    203.1012   49.2713 -.6001579 -.2560034  .7578078  1540501
  210  1.906 B3    206.3908   49.5621 -.5810258 -.2883077  .7611095  1540507
  211  4.258 A0    213.6178   46.3189 -.5751335 -.3823748  .7231950  1540519
  212  3.633 G5    225.0146   40.5865 -.5368569 -.5371309  .6505959  1540539
  213  4.859 G0    225.5279   47.8485 -.4701423 -.4788868  .7413728  1540541
  214  4.977 A2    232.4975   41.0680 -.4589898 -.5981132  .6569543  1540555
  215  4.609 G0    237.7426   42.5972 -.3928904 -.6225145  .6768404  1540564
  216  4.641 B9    240.3103   46.1740 -.3429821 -.6015641  .7214457  1540569
  217  4.258 B9P   241.7975   45.0655 -.3337893 -.6224487  .7079141  1540571
  218  3.906 B5    244.5585   46.4320 -.2960794 -.6223785  .7245564  1540577
  219  4.250 A0    248.1220   42.5397 -.2745588 -.6837440  .6761003  1540583
  220  4.859 A2P   251.9430   46.0688 -.2150504 -.6596232  .7201740  1540589
  221  3.789 B3    264.5126   46.0321 -.0663894 -.6910741  .7197285  1540615
  222  4.250 M3    283.4533   43.8802  .1676943 -.7010119  .6931529  1540674
  223  2.969 A0    295.8535   45.0084  .3083046 -.6362407  .7072100  1540722
  224  4.961 A2    302.9319   46.6636  .3730911 -.5760070  .7273369  1540744
  225  3.953 &&&   303.0139   46.5889  .3744314 -.5762670  .7264417  1540746
  226  4.156 &&&   303.4811   47.5600  .3722716 -.5628433  .7379846  1540750
  227  2.320 F8P   305.1081   40.0957  .4399493 -.6257976  .6440668  1540761
  228  4.891 B3    307.1274   48.7829  .3977134 -.5253493  .7522182  1540771
  229  1.328 A2P   309.9314   45.1009  .4530707 -.5412629  .7083512  1540791
  230  4.891 B2    311.8083   45.9279  .4636900 -.5184583  .7184655  1540798
  231  4.680 B3    312.8690   44.1972  .4877547 -.5254569  .6971301  1540802
  232  4.039 A0    313.8269   40.9737  .5228307 -.5446914  .6557128  1540815
  233  4.883 B0P   314.5309   47.3251  .4753632 -.4832123  .7352113  1540822
  234  3.922 K5    315.7775   43.7276  .5178662 -.5039982  .6912311  1540830
  235  4.883 K5    316.2193   47.4468  .4882663 -.4679144  .7366493  1540831
  236  4.219 K0    323.0239   45.3691  .5612470 -.4225634  .7116474  1540864
  237  4.258 B3    326.2357   49.0776  .5445516 -.3640544  .7555978  1540878
  238  4.656 B5    334.7392   46.2844  .6249946 -.2949103  .7227792  1540901
  239  4.641 B8P   335.6208   49.2224  .5948873 -.2695929  .7572508  1540904
  240  4.609 &&&   336.8606   47.4505  .6218260 -.2657367  .7366929  1540906
  241  4.539 B3    337.0810   42.8667  .6750782 -.2854276  .6802944  1540908
  242  4.641 K0    339.5805   44.0150  .6739680 -.2509081  .6948469  1540914
  243  3.633 &&&   344.9039   42.0570  .7168565 -.1933699  .6698692  1540934
  244  4.906 K0    345.4855   49.7818  .6250919 -.1618290  .7635912  1540938
  245  4.617 F0    347.5645   49.1339  .6389425 -.1408959  .7562413  1540947
  246  4.992 M0    348.8553   48.7420  .6470150 -.1274638  .7517476  1540951
  247  4.000 K0    353.7796   46.1827  .6882846 -.0750190  .7215514  1540970
  248  4.281 B8    353.9196   42.9912  .7273433 -.0774789  .6818862  1540973
  249  4.328 A0    354.4856   44.0568  .7153246 -.0690591  .6953715  1540975
  250  4.438 A2      3.6172   38.4040  .7820891  .0494406  .6212022  1430009
  251  4.508 A2      3.9262   36.5079  .8018886  .0550350  .5949335  1430010
  252  4.469 B3      8.5510   33.4444  .8251458  .1240695  .5511271  1430025
  253  3.492 K2      9.1636   30.5868  .8498724  .1370956  .5088435  1430027
  254  3.938 A2     13.4944   38.2290  .7638570  .1833070  .6188061  1430032
  255  2.367 M0     16.7334   35.3549  .7810478  .2348221  .5786389  1430040
  256  4.773 A2     31.3674   37.6226  .6762888  .4122799  .6104578  1430079
  257  3.078 A5     31.6418   34.7514  .6994923  .4310350  .5700170  1430080
  258  4.070 A0     33.5840   33.6166  .6937532  .4606489  .5536326  1430088
  259  4.992 G0     39.7705   39.9818  .5889485  .4901806  .6425438  1430115
  260  4.273 F0     41.8570   38.1130  .5860145  .5250076  .6172147  1430121
  261  4.672 K5     42.1066   34.8547  .6088053  .5502249  .5714969  1430124
  262  4.617 A2     43.8891   39.4637  .5563877  .5352192  .6355889  1430130
  263  4.969 K0     43.9881   34.9842  .5894807  .5690181  .5733506  1430131
  264  3.703 M3     45.4926   38.6469  .5474887  .5569844  .6245194  1430136
  265  4.820 K0     47.0129   39.4232  .5267005  .5650715  .6350440  1430137
  266  4.922 K0     48.8988   34.0411  .5447376  .6244189  .5597874  1430145
  267  3.938 B1     55.2943   32.1314  .4821529  .6961682  .5318631  1430161
  268  2.906 B1     57.7457   31.7367  .4538788  .7192359  .5260169  1430173
  269  2.961 B1     58.6229   39.8671  .3996306  .6552882  .6410091  1430177
  270  4.047 OE5    58.9285   35.6490  .4193902  .6960131  .5828187  1430181
  271  2.898 K2     73.4333   33.0887  .2388906  .8030471  .5459365  1430227
  272  4.992 A0     73.9649   37.8156  .2182152  .7592519  .6131221  1430229
  273  4.781 A3     77.5004   38.4265  .1695549  .7648376  .6215099  1430242
  274  4.813 K0     78.7239   33.3197  .1633947  .8194882  .5493097  1430247
  275  4.883 B1     82.3677   32.1571  .1124405  .8390922  .5322418  1430269
  276  4.641 K0     86.4267   39.1660  .0483225  .7738121  .6315693  1430286
  277  4.992 M0     86.9078   37.2928  .0429149  .7943908  .6058890  1430288
  278  4.180 K0     87.0055   39.1360  .0405194  .7745905  .6311638  1430289
  279  2.711 A0P    89.0783   37.2103  .0128117  .7963187  .6047416  1430297
  280  5.000 G0     96.3386   30.5257 -.0951016  .8561353  .5079251  1430321
  281  3.641 A2    102.3736   34.0229 -.1776028  .8095611  .5595249  1430342
  282  4.477 K0    106.9892   30.3286 -.2522039  .8254760  .5049580  1430363
  283  4.180 F0    111.4763   31.8875 -.3108642  .7901345  .5282527  1430377
  284  2.422 A0    112.8506   31.9986 -.3293266  .7815055  .5298992  1430381
  285  4.922 F0    113.9758   34.6997 -.3340803  .7512102  .5692746  1430386
  286  4.711 G5    135.8384   38.6532 -.5602295  .5440694  .6246050  1430455
  287  3.820 A2    138.9344   37.0141 -.6020258  .5245451  .6020111  1430465
  288  3.297 K5    139.5007   34.6053 -.6258844  .5345426  .5679199  1430469
  289  4.617 G5    142.7916   36.6204 -.6392282  .4853480  .5965104  1430477
  290  4.992 K0    142.9876   39.8447 -.6130801  .4621966  .6407083  1430478
  291  4.469 A5    151.1222   35.4893 -.7129765  .3932242  .5805509  1430496
  292  4.828 F0    155.7624   34.0507 -.7555073  .3401342  .5599263  1430504
  293  4.406 K0    156.2479   36.9630 -.7313442  .3218306  .6012992  1430505
  294  4.773 G0    158.9778   32.2365 -.7895545  .3034324  .5334159  1430512
  295  3.922 K0    162.6312   34.4819 -.7867198  .2460720  .5661453  1430518
  296  3.859 G0    168.8744   31.8045 -.8338799  .1639877  .5270221  1430527
  297  3.711 K0    168.9453   33.3676 -.8196620  .1601390  .5500088  1430528
  298  4.781 A2    169.1022   38.4593 -.7689285  .1480415  .6219587  1430530
  299  2.898 A0P   193.4196   38.5886 -.7603034 -.1814046  .6237236  1430577
  300  4.961 F0    203.1424   37.4378 -.7301199 -.3120618  .6078999  1430600
  301  4.922 F0    203.8086   36.5488 -.7349835 -.3242989  .5955077  1430601
  302  4.961 M0    207.3962   34.6909 -.7300178 -.3783441  .5691483  1430612
  303  4.828 K0    213.9706   35.7395 -.6731467 -.4535408  .5841013  1430622
  304  3.781 K0    217.4173   30.5913 -.6836901 -.5230468  .5089105  1430632
  305  3.000 F0    217.5144   38.5277 -.6205259 -.4763940  .6228935  1430633
  306  3.539 K0    228.3724   33.4991 -.5539450 -.6233179  .5519237  1430661
  307  4.469 F0    230.6480   37.5524 -.5026987 -.6130413  .6094870  1430671
  308  4.172 B5    232.7276   31.5266 -.5162159 -.6783082  .5228949  1430679
  309  4.773 K0    237.3363   35.8077 -.4376941 -.6827309  .5850662  1430695
  310  4.938 K0    241.7845   36.6204 -.3794628 -.7072367  .5965100  1430707
  311  4.719 K0    245.0355   31.0081 -.3617420 -.7770155  .5151599  1430717
  312  3.000 G0    249.8440   31.6965 -.2931812 -.7987361  .5254193  1430729
  313  3.609 K0    250.2954   39.0154 -.2619742 -.7314791  .6295299  1430731
  314  3.922 A0    254.5930   30.9992 -.2277286 -.8263706  .5150256  1430739
  315  3.359 K5    258.3255   36.8644 -.1618930 -.7835064  .5999236  1430748
  316  4.602 B3    258.8690   33.1527 -.1616267 -.8214663  .5468729  1430750
  317  4.797 A2    258.9857   37.3435 -.1518905 -.7803691  .6065916  1430751
  318  4.523 A0    260.4884   37.1909 -.1316407 -.7856743  .6044722  1430757
  319  3.992 K0    268.6341   37.2561 -.0189728 -.7957115  .6053786  1430783
  320  4.477 F0    269.1469   30.1924 -.0128697 -.8642459  .5029049  1430788
  321  4.344 K0    274.5266   36.0414  .0638161 -.8060699  .5883696  1430808
  322   .141 A0    278.8138   38.7391  .1195153 -.7707932  .6257747  1430820
  323  4.500 A5    280.6806   39.5601  .1428840 -.7576003  .6368877  1430833
  324  4.289 A3    280.7626   37.5520  .1480472 -.7788547  .6094813  1430834
  325  3.852 &&&   282.0581   33.3035  .1745956 -.8173341  .5490732  1430842
  326  3.797 &&&   282.0581   33.3035  .1745963 -.8173338  .5490734  1430843
  327  4.523 MB    283.1882   36.8343  .1826053 -.7792640  .5995023  1430849
  328  3.297 A0P   284.2678   32.6198  .2075803 -.8162858  .5390621  1430856
  329  4.461 B3    288.0137   39.0589  .2401278 -.7384361  .6301196  1430877
  330  4.461 K0    288.6577   38.0437  .2519447 -.7461536  .6162618  1430883
  331  4.852 B3    292.4780   34.3456  .3156695 -.7629225  .5641827  1430906
  332  4.789 K0    294.3501   30.0374  .3569367 -.7886889  .5005656  1430919
  333  4.203 M7E   297.1600   32.7862  .3837583 -.7479980  .5415058  1430943
  334  4.867 B3    298.5183   38.3529  .3744102 -.6890526  .6205027  1430952
  335  4.031 K0    298.6067   34.9492  .3924493 -.7196013  .5728503  1430953
  336  4.820 B2P   301.8921   36.6916  .4236412 -.6808180  .5975074  1430977
  337  4.977 A0    303.1658   36.6529  .4388906 -.6715699  .5969664  1430983
  338  4.883 B1P   303.9853   37.8765  .4412232 -.6545021  .6139618  1430992
  339  4.602 K2    305.4658   32.0278  .4919034 -.6904932  .5303302  1431003
  340  4.094 F5P   306.8378   30.2007  .5181737 -.6917057  .5030300  1431011
  341  4.852 &&&   307.9891   35.0786  .5037126 -.6449753  .5747003  1431015
  342  4.344 K0    310.8989   30.5366  .5639192 -.6510310  .5080884  1431031
  343  2.641 K0    311.0511   33.7855  .5458264 -.6267714  .5560855  1431032
  344  4.469 B5    311.3648   36.3061  .5325570 -.6048161  .5920985  1431034
  345  3.398 K0    317.7015   30.0204  .6404224 -.5827096  .5003086  1431054
  346  3.820 F0    318.2003   37.8359  .5887583 -.5264049  .6134017  1431057
